DistrictID,age_under_18,age_18_34,age_35_64,age_65_plus,race_white,edu_no_degree,edu_hs_assoc,edu_bach,edu_adv_degree,inc_under_20k,inc_20k_49k,inc_50k_74k,inc_75k_99k,inc_100k_plus
25,0.23084636983553952,0.22155368364754646,0.3979332607491452,0.1496857868699024,0.9757129486371363,0.29261416224066983,0.5857551723646927,0.0652152244799157,0.05641544091472184,0.29051817133504443,0.37101513967935124,0.17036789048841275,0.0807201577204925,0.08734144254733475
29,0.21836606499528885,0.2056090306131875,0.42139782363700184,0.15463631828846972,0.9811092430764683,0.2649655483716793,0.6114599790236714,0.06500006638078674,0.05857440622386256,0.2624381436404975,0.35284873612411394,0.17125852614685033,0.09549284472381972,0.11796174936471847
30,0.21921903913371257,0.20476663696799396,0.42200671646905624,0.15401617435405388,0.9773661846343636,0.2942621641873549,0.5962632206075644,0.05589199945950594,0.053582615745574706,0.26576343529716095,0.3620901506822738,0.17823190842656664,0.10010993985643148,0.09373989523378387
27,0.22688410658684696,0.21772376184823933,0.39713749978496843,0.1582546317799453,0.9553680480294507,0.19713841771332383,0.6398679269713842,0.08693512883594458,0.07605852647934741,0.19114614514734252,0.32661478081553913,0.189749218386217,0.13064591232621567,0.1618106831637065
31,0.2141553563202098,0.20825507636698679,0.42511251284595486,0.15252135086289378,0.9767178142386336,0.26420346703783376,0.6191193217765405,0.05892698975072757,0.05775022143489814,0.22494841372194996,0.3621679133350529,0.1866778436935775,0.1001418622646376,0.12603172556100078
18,0.21696515440885014,0.1961100500882851,0.4120482144787575,0.17487658102410725,0.9756945695650607,0.1437929484297733,0.6937383597713699,0.09856785049129793,0.06390084130755892,0.15559527355774005,0.31850527918445704,0.21821732366861946,0.12415185516168536,0.18356336676265184
2,0.2161933175299918,0.1869901845025102,0.4117281224368392,0.18507936221799598,0.9197454640504025,0.12976818037472213,0.67026992696094,0.11860273102572245,0.08135916163861544,0.12836251425504797,0.30928422888575835,0.2188904541490575,0.1339303682833568,0.20946535184812504
1,0.2034364325663451,0.2388986899891145,0.37760406891633197,0.1800608085282084,0.9160786006531286,0.1617225014349512,0.6398342456356484,0.11567806694572384,0.08276518598367656,0.14651631692928085,0.33190202374729294,0.2080128444477634,0.13733104323799566,0.1762377716376671
4,0.22641227365313102,0.2042587782408013,0.4040326649599163,0.16528693962214788,0.9237568441313325,0.15871266244811866,0.6997482479417568,0.07909097094645166,0.06244811866367286,0.16257297820154074,0.3078384633986251,0.21446091132068953,0.1489618958786748,0.16616575120046984
3,0.2705720192970365,0.2756461061337009,0.3275671950379049,0.12624052377670572,0.8164541695382495,0.175123797598042,0.6750526495531903,0.09340315328134782,0.056420399567419885,0.1541196581196581,0.37035897435897436,0.23535042735042735,0.11367521367521367,0.12646153846153846
6,0.2277779244436231,0.20132527257847357,0.4019729489514859,0.16892385402641746,0.9454315055835687,0.1987449562771279,0.6801420516018991,0.06468693914438094,0.056426052976592034,0.16561360083376758,0.33862037519541427,0.2172029702970297,0.1354872329338197,0.14310838978634705
8,0.24434111172731537,0.20640757646858068,0.3924064673008831,0.15684484450322086,0.9458128919414701,0.12487174615238457,0.6879346380391411,0.10944328329849895,0.0777503325099753,0.12969805070709645,0.30204484647725827,0.21228818957829024,0.1554975156070837,0.20047139763027136
32,0.22599475222532217,0.30110767902218677,0.3556031619503122,0.11735253088880032,0.8392287764049422,0.1268490263960919,0.5953693947645698,0.16937834398390783,0.10840323485543042,0.13331998130716335,0.280459309700247,0.22030843180452633,0.14239935910274384,0.2234795380198945
5,0.23689570428225154,0.20324703743603556,0.40498754376514945,0.1548612981416644,0.9555447077834635,0.2039954422729187,0.6809714894354859,0.06514577295583464,0.04988729533576082,0.16661466458658347,0.33656786271450856,0.22683307332293293,0.12324492979719189,0.1466770670826833
9,0.23463766068653766,0.19526063003249047,0.40381762960870177,0.1662752507416302,0.9446249470264162,0.2023893816702499,0.6569383472585193,0.08303616257064511,0.05763610850058576,0.1709707884195786,0.35929918259680205,0.20428566776305077,0.14172664213371544,0.12375028495131403
10,0.25305860170960404,0.23082191201711294,0.3966078479450086,0.11952854835845882,0.8535675936181546,0.11742625953008715,0.6690608237112464,0.121127894743678,0.09238502201498837,0.11763760804601395,0.285370007390508,0.2199479451174448,0.16265544166318563,0.2143889977828476
16,0.2225324573104551,0.20575490691566484,0.40327431502025735,0.1684631763838372,0.9588473615748527,0.25009397014780593,0.6284238478047361,0.06476058831375117,0.05672159373370679,0.26131961850200186,0.36395299632173433,0.19654308127990625,0.09296572377201263,0.08521858012434491
14,0.24713000050277364,0.19658449110928622,0.41876853977777406,0.13749182992843856,0.9325445373644606,0.14502406112020638,0.6713548643151263,0.11043310016371484,0.07318797440095252,0.12954024375527937,0.26975986484855796,0.21726801013635816,0.16290575600337878,0.22052612525642573
15,0.22260993351040745,0.20085759422252314,0.4049355068312414,0.17156224502196066,0.9575282537367845,0.1860617682680662,0.6568177230520791,0.08982640290674203,0.06729410577311264,0.20883689451803153,0.3363949853362983,0.18975796835218667,0.12568887170066712,0.13935350800863708
34,0.21757056226486404,0.2751370015976362,0.38167184896325435,0.1255948188486712,0.9375461682499872,0.15050615928771802,0.5690395847732108,0.16160507378948652,0.11884918214958463,0.1564334008305591,0.2730548786765968,0.20757112949171158,0.13494869066822254,0.22802622095617256
21,0.23678738308230515,0.20034412740868798,0.4121700413442171,0.15066582945306575,0.9830464245814612,0.24757304654040163,0.6328162177595889,0.06666983915484914,0.05294089654516037,0.22404998339923335,0.3564033684464701,0.21762095922248045,0.10075156198122605,0.10117412695059008
