"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num County total","num County rptg","over votes","under votes"
294,"Circuit Judge, 23rd Judicial Circuit","Michael DEAN","",4692,57.55,19457,9851,3,3,"0","0"
295,"Circuit Judge, 23rd Judicial Circuit","Heather COMBS","",3461,42.45,19457,9851,3,3,"0","0"
296,"Circuit Judge Family Court, 24th Judicial Circuit, 1st Division","Janie McKENZIE-WELLS","",11063,100.00,37912,18036,3,3,"0","3088"
297,"Circuit Judge, 24th Judicial Circuit, 2nd Division","John David PRESTON","",11841,100.00,37912,18036,3,3,"0","2817"
298,"Circuit Judge, 25th Judicial Circuit, 1st Division","William "Bill" CLOUSE","",24969,100.00,85722,39745,2,2,"0","0"
299,"Circuit Judge, 25th Judicial Circuit, 2nd Division","Jean Chenault LOGUE","",24316,100.00,85722,39745,2,2,"0","0"
300,"Circuit Judge Family Court, 25th Judicial Circuit, 3rd Division","Nora J. SHEPHERD","",23572,100.00,85722,39745,2,2,"0","0"
301,"Circuit Judge Family Court, 25th Judicial Circuit, 4th Division","Jeffrey M. WALSON","",23525,100.00,85722,39745,2,2,"0","0"
302,"Circuit Judge, 26th Judicial Circuit","Kent HENDRICKSON","",4361,51.05,20421,9435,1,1,"0","0"
303,"Circuit Judge, 26th Judicial Circuit","Henry S. JOHNSON","",4182,48.95,20421,9435,1,1,"0","0"
304,"Circuit Judge, 27th Judicial Circuit, 1st Division","Greg LAY","",18473,100.00,67547,28415,2,2,"0","0"
305,"Circuit Judge, 27th Judicial Circuit, 2nd Division","Tom JENSEN","",17751,100.00,67547,28415,2,2,"0","0"
306,"Circuit Judge Family Court, 27th Judicial Circuit, 3rd Division","Marilyn Benge MCGHEE","",11498,47.23,67547,28415,2,2,"0","0"
307,"Circuit Judge Family Court, 27th Judicial Circuit, 3rd Division","Stephen M. JONES","",12845,52.77,67547,28415,2,2,"0","0"
308,"Circuit Judge, 28th Judicial Circuit, 1st Division","David A. TAPP","",22758,100.00,75247,34021,3,3,"0","0"
309,"Circuit Judge, 28th Judicial Circuit, 2nd Division","Jeffrey Thomas BURDETTE","",22386,100.00,75247,34021,3,3,"0","0"
310,"Circuit Judge Family Court, 28th Judicial Circuit, 3rd Division","Marcus L. VANOVER","",16652,62.90,75247,34021,3,3,"0","0"
311,"Circuit Judge Family Court, 28th Judicial Circuit, 3rd Division","Bruce Wayne SINGLETON","",9821,37.10,75247,34021,3,3,"0","0"
312,"Circuit Judge, 29th Judicial Circuit","Judy D. VANCE","",8303,100.00,23910,12609,2,2,"0","0"
313,"Circuit Judge, 30th Judicial Circuit, 1st Division","Barry WILLETT","",99524,62.08,0,259804,1,1,"0","0"
314,"Circuit Judge, 30th Judicial Circuit, 1st Division","Stuart PEARLMAN","",60796,37.92,0,259804,1,1,"0","0"
315,"Circuit Judge, 30th Judicial Circuit, 2nd Division","James M. "Jim" SHAKE","",139624,100.00,0,259804,1,1,"0","0"
316,"Circuit Judge, 30th Judicial Circuit, 3rd Division","Mitch PERRY","",129106,100.00,0,259804,1,1,"0","0"
317,"Circuit Judge, 30th Judicial Circuit, 4th Division","Charles L. CUNNINGHAM JR.","",128755,100.00,0,259804,1,1,"0","0"
318,"Circuit Judge, 30th Judicial Circuit, 5th Division","Mary M. SHAW","",129007,100.00,0,259804,1,1,"0","0"
319,"Circuit Judge, 30th Judicial Circuit, 6th Division","Olu A. STEVENS","",127906,100.00,0,259804,1,1,"0","0"
320,"Circuit Judge, 30th Judicial Circuit, 7th Division","Audra Jean ECKERLE","",130138,100.00,0,259804,1,1,"0","0"
321,"Circuit Judge, 30th Judicial Circuit, 8th Division","McKay CHAUVIN","",126323,100.00,0,259804,1,1,"0","0"
322,"Circuit Judge, 30th Judicial Circuit, 9th Division","Judith McDONALD-BURKMAN","",129058,100.00,0,259804,1,1,"0","0"
323,"Circuit Judge, 30th Judicial Circuit, 10th Division","Angela McCormick BISIG","",135850,100.00,0,259804,1,1,"0","0"
324,"Circuit Judge, 30th Judicial Circuit, 11th Division","Brian C. EDWARDS","",125126,100.00,0,259804,1,1,"0","0"
325,"Circuit Judge, 30th Judicial Circuit, 12th Division","Susan Schultz GIBSON","",126183,100.00,0,259804,1,1,"0","0"
326,"Circuit Judge, 30th Judicial Circuit, 13th Division","Sandy BERMAN","",63322,38.98,0,259804,1,1,"0","0"
327,"Circuit Judge, 30th Judicial Circuit, 13th Division","Ann Bailey SMITH","",99110,61.02,0,259804,1,1,"0","0"
328,"Circuit Judge Family Court, 30th Judicial Circuit, 1st Division","Angela JOHNSON","",91172,57.01,0,259804,1,1,"0","0"
329,"Circuit Judge Family Court, 30th Judicial Circuit, 1st Division","Lauren Adams OGDEN","",68764,42.99,0,259804,1,1,"0","0"
330,"Circuit Judge Family Court, 30th Judicial Circuit, 2nd Division","Hugh Smith HAYNIE","",125871,100.00,0,259804,1,1,"0","0"
331,"Circuit Judge Family Court, 30th Judicial Circuit, 3rd Division","Ellie Garcia KERSTETTER","",45512,28.01,0,259804,1,1,"0","0"
332,"Circuit Judge Family Court, 30th Judicial Circuit, 3rd Division","Deborah DEWEESE","",116962,71.99,0,259804,1,1,"0","0"
333,"Circuit Judge Family Court, 30th Judicial Circuit, 4th Division","Dolly Wisman BERRY","",123799,100.00,0,259804,1,1,"0","0"
334,"Circuit Judge Family Court, 30th Judicial Circuit, 5th Division","Stuart A. SCHERER","",45416,28.43,0,259804,1,1,"0","0"
335,"Circuit Judge Family Court, 30th Judicial Circuit, 5th Division","Tara HAGERTY","",114325,71.57,0,259804,1,1,"0","0"
336,"Circuit Judge Family Court, 30th Judicial Circuit, 6th Division","A. Christine WARD","",111243,67.43,0,259804,1,1,"0","0"
337,"Circuit Judge Family Court, 30th Judicial Circuit, 6th Division","Stephanie L. MORGAN-WHITE","",53739,32.57,0,259804,1,1,"0","0"
338,"Circuit Judge Family Court, 30th Judicial Circuit, 7th Division","Denise BROWN","",100511,60.53,0,259804,1,1,"0","0"
339,"Circuit Judge Family Court, 30th Judicial Circuit, 7th Division","Dennis BURKE","",65550,39.47,0,259804,1,1,"0","0"
340,"Circuit Judge Family Court, 30th Judicial Circuit, 8th Division","Mark Hyatt GASTON SR","",48362,30.22,0,259804,1,1,"0","0"
341,"Circuit Judge Family Court, 30th Judicial Circuit, 8th Division","Deana "Dee" McDONALD","",111683,69.78,0,259804,1,1,"0","0"
342,"Circuit Judge Family Court, 30th Judicial Circuit, 9th Division","Stephen M. GEORGE","",123270,100.00,0,259804,1,1,"0","0"
343,"Circuit Judge Family Court, 30th Judicial Circuit, 10th Division","Paula F. SHERLOCK","",123091,100.00,0,259804,1,1,"0","0"
344,"Circuit Judge, 31st Judicial Circuit, 1st Division","Johnny Ray HARRIS","",9585,100.00,30361,13693,1,1,"0","4098"
345,"Circuit Judge, 31st Judicial Circuit, 2nd Division","Thomas M. SMITH","",6435,50.28,30361,13693,1,1,"0","894"
346,"Circuit Judge, 31st Judicial Circuit, 2nd Division","Ashley Tackett LAFERTY","",6363,49.72,30361,13693,1,1,"0","894"
347,"Circuit Judge Family Court, 31st Judicial Circuit, 3rd Division","Dwight Stacy MARSHALL","",8790,100.00,30361,13693,1,1,"0","4887"
348,"Circuit Judge, 32nd Judicial Circuit, 1st Division","George W. DAVIS III.","",9158,69.11,37372,14898,1,1,"0","0"
349,"Circuit Judge, 32nd Judicial Circuit, 1st Division","Marc I. ROSEN","",4093,30.89,37372,14898,1,1,"0","0"
350,"Circuit Judge, 32nd Judicial Circuit, 2nd Division","C. David HAGERMAN","",10711,100.00,37372,14898,1,1,"0","0"
351,"Circuit Judge, 33rd Judicial Circuit","Alison C. WELLS","",4925,52.97,20791,9971,1,1,"0","0"
352,"Circuit Judge, 33rd Judicial Circuit","Scott BLAIR","",4373,47.03,20791,9971,1,1,"0","0"
353,"Circuit Judge, 34th Judicial Circuit, 1st Division","Dan BALLOU","",10561,100.00,37562,15028,2,2,"0","0"
354,"Circuit Judge, 34th Judicial Circuit, 2nd Division","Paul K. WINCHESTER","",9752,100.00,37562,15028,2,2,"0","0"
355,"Circuit Judge, 35th Judicial Circuit, 1st Division","Eddy COLEMAN","",12331,100.00,48110,19435,1,1,"0","0"
356,"Circuit Judge, 35th Judicial Circuit, 2nd Division","Steven D. COMBS","",11589,100.00,48110,19435,1,1,"0","0"
357,"Circuit Judge Family Court, 35th Judicial Circuit, 3rd Division","Larry E. THOMPSON","",11680,100.00,48110,19435,1,1,"0","0"
358,"Circuit Judge, 36th Judicial Circuit","Kim Cornett CHILDERS","",6330,100.00,21954,10960,2,2,"0","0"
359,"Circuit Judge, 37th Judicial Circuit, 1st Division","Rebecca K. PHILLIPS","",10289,100.00,33530,15649,3,3,"0","0"
360,"Circuit Judge Family Court, 37th Judicial Circuit, 2nd Division","David D. FLATT","",9467,100.00,33530,15649,3,3,"0","0"
361,"Circuit Judge, 38th Judicial Circuit, 1st Division","Ronnie C. DORTCH","",12358,100.00,41337,21463,4,4,"0","0"
362,"Circuit Judge Family Court, 38th Judicial Circuit, 2nd Division","Michael Lee McKOWN","",11650,100.00,41337,21463,4,4,"0","0"
363,"Circuit Judge, 39th Judicial Circuit, 1st Division","Frank Allen FLETCHER","",7925,100.00,26920,11782,3,3,"0","0"
364,"Circuit Judge Family Court, 39th Judicial Circuit, 2nd Division","Samuel Bruce HERALD","",5355,49.33,26920,11782,3,3,"0","0"
365,"Circuit Judge Family Court, 39th Judicial Circuit, 2nd Division","Larry MILLER","",5500,50.67,26920,11782,3,3,"0","0"
366,"Circuit Judge, 40th Judicial Circuit","Steve D. HURT","",5463,46.86,21375,12529,3,3,"0","0"
367,"Circuit Judge, 40th Judicial Circuit","David L. WILLIAMS","",6194,53.14,21375,12529,3,3,"0","0"
368,"Circuit Judge, 41st Judicial Circuit, 1st Division","Oscar Gayle HOUSE","",10138,100.00,33356,15669,3,3,"0","0"
369,"Circuit Judge Family Court, 41st Judicial Circuit, 2nd Division","Gene CLARK","",9457,100.00,33356,15669,3,3,"0","0"
370,"Circuit Judge, 42nd Judicial Circuit, 1st Division","Dennis R. FOUST","",17557,100.00,51964,25994,2,2,"0","0"
371,"Circuit Judge Family Court, 42nd Judicial Circuit, 2nd Division","Rob MATTINGLY","",16335,100.00,51964,25994,2,2,"0","0"
372,"Circuit Judge, 43rd Judicial Circuit, 1st Division","Phillip R. PATTON","",11705,100.00,36997,18417,2,2,"0","0"
373,"Circuit Judge Family Court, 43rd Judicial Circuit, 2nd Division","Mitchell NANCE","",11522,100.00,36997,18417,2,2,"0","0"
374,"Circuit Judge, 44th Judicial Circuit","Robert V. "Bob" COSTANZO","",6082,100.00,20545,8812,1,1,"0","0"
375,"Circuit Judge, 45th Judicial Circuit","Brian WIGGINS","",8988,100.00,29239,13694,2,2,"0","0"
376,"Circuit Judge, 46th Judicial Circuit, 1st Division","Bruce BUTLER","",15012,100.00,52575,24774,3,3,"0","0"
377,"Circuit Judge, 46th Judicial Circuit, 2nd Division","Robert A. MILLER","",14478,100.00,52575,24774,3,3,"0","0"
378,"Circuit Judge, 47th Judicial Circuit","Samuel T. WRIGHT III.","",5648,100.00,16435,7925,1,1,"0","0"
379,"Circuit Judge, 48th Judicial Circuit, 1st Division","Phillip J. SHEPHERD","",13037,100.00,35422,19973,1,1,"0","0"
380,"Circuit Judge, 48th Judicial Circuit, 2nd Division","Thomas D. WINGATE","",13739,100.00,35422,19973,1,1,"0","0"
381,"Circuit Judge Family Court, 48th Judicial Circuit, 3rd Division","Squire "Will" WILLIAMS","",13002,100.00,35422,19973,1,1,"0","0"
382,"Circuit Judge, 49th Judicial Circuit, 1st Division","Janet CROCKER","",7596,100.00,12866,11627,2,2,"0","0"
383,"Circuit Judge Family Court, 49th Judicial Circuit, 2nd Division","Sid BRODERSON","",7375,100.00,12866,11627,2,2,"0","0"
384,"Circuit Judge, 50th Judicial Circuit, 1st Division","Darren W. PECKLER","",11027,100.00,37696,17740,2,2,"0","0"
385,"Circuit Judge Family Court, 50th Judicial Circuit, 2nd Division","Bruce PETRIE","",10670,100.00,37696,17740,2,2,"0","0"
386,"Circuit Judge, 51st Judicial Circuit, 1st Division","Karen L. WILSON","",9183,100.00,32891,14065,1,1,"0","0"
387,"Circuit Judge Family Court, 51st Judicial Circuit, 2nd Division","Sheila Nunley FARRIS","",9110,100.00,32891,14065,1,1,"0","0"
388,"Circuit Judge, 52nd Judicial Circuit","Timothy C. STARK","",8156,100.00,24533,13277,1,1,"0","0"
389,"Circuit Judge, 53rd Judicial Circuit, 1st Division","Charles R. HICKMAN","",18834,100.00,59506,31762,3,3,"0","0"
390,"Circuit Judge Family Court, 53rd Judicial Circuit, 2nd Division","Marie HELLARD","",15963,63.10,59506,31762,3,3,"0","0"
391,"Circuit Judge Family Court, 53rd Judicial Circuit, 2nd Division","John David MYLES","",9335,36.90,59506,31762,3,3,"0","0"
392,"Circuit Judge, 54th Judicial Circuit, 1st Division","Marcia THOMAS","",12599,43.15,97874,37216,2,2,"0","0"
393,"Circuit Judge, 54th Judicial Circuit, 1st Division","Rick BRUEGGEMANN","",16601,56.85,97874,37216,2,2,"0","0"
394,"Circuit Judge Family Court, 54th Judicial Circuit, 2nd Division","Linda Rae BRAMLAGE","",23638,100.00,97874,37216,2,2,"0","0"
395,"Circuit Judge, 54th Judicial Circuit, 3rd Division","J.R. SCHRAND","",24319,100.00,97874,37216,2,2,"0","0"
396,"Circuit Judge, 55th Judicial Circuit, 1st Division","Rodney BURRESS","",14895,100.00,55370,24619,1,1,"0","0"
397,"Circuit Judge Family Court, 55th Judicial Circuit, 2nd Division","Elise Givhan SPAINHOUR","",14904,100.00,55370,24619,1,1,"0","0"
398,"Circuit Judge, 56th Judicial Circuit","C. A. WOODALL III.","",12199,100.00,34894,18095,4,4,"0","0"
399,"Circuit Judge, 57th Judicial Circuit, 1st Division","Vernon MINIARD JR.","",8720,100.00,27852,14144,2,2,"0","0"
400,"Circuit Judge Family Court, 57th Judicial Circuit, 2nd Division","Jennifer Upchurch EDWARDS","",7220,61.08,27852,14144,2,2,"0","0"
401,"Circuit Judge Family Court, 57th Judicial Circuit, 2nd Division","Matthew B. DeHART","",4601,38.92,27852,14144,2,2,"0","0"
402,"District Judge, 1st Judicial District","Hunter B. WHITESELL II.","",2963,100.00,8911,3930,2,2,"0","0"
403,"District Judge, 2nd Judicial District, 1st Division","W. A. "Tony" KITCHEN","",15328,100.00,50861,24066,1,1,"0","0"
404,"District Judge, 2nd Judicial District, 2nd Division","Craig F. NEWBERN JR.","",6593,34.67,50861,24066,1,1,"0","0"
405,"District Judge, 2nd Judicial District, 2nd Division","Chris HOLLOWELL","",12421,65.33,50861,24066,1,1,"0","0"
406,"District Judge, 3rd Judicial District, 1st Division","James G. ADAMS JR.","",9981,100.00,45782,15467,1,1,"0","0"
407,"District Judge, 3rd Judicial District, 2nd Division","Richard BOLING","",5033,37.26,45782,15467,1,1,"0","0"
408,"District Judge, 3rd Judicial District, 2nd Division","J. Foster COTTHOFF","",8474,62.74,45782,15467,1,1,"0","0"
409,"District Judge, 4th Judicial District, 1st Division","David G. MASSAMORE","",9335,100.00,32708,16155,1,1,"0","0"
410,"District Judge, 4th Judicial District, 2nd Division","Bill WHITLEDGE","",9645,69.63,32708,16155,1,1,"0","0"
411,"District Judge, 4th Judicial District, 2nd Division","Karey Roy DEARDORFF","",4206,30.37,32708,16155,1,1,"0","0"
412,"District Judge, 5th Judicial District","Daniel M. HEADY","",9495,100.00,26244,13204,3,3,"0","0"
413,"District Judge, 6th Judicial District, 1st Division","Lisa Payne JONES","",20785,100.00,69459,32966,1,1,"0","0"
414,"District Judge, 6th Judicial District, 2nd Division","David C. PAYNE","",20044,100.00,69459,32966,1,1,"0","0"
415,"District Judge, 6th Judicial District, 3rd Division","Daniel M. "Nick" BURLEW","",19389,100.00,69459,32966,1,1,"0","0"
416,"District Judge, 7th Judicial District","Kenneth R. WILLIAMS JR.","",7002,75.44,25303,11611,2,2,"0","0"
417,"District Judge, 7th Judicial District","Nancy E. CALLOWAY","",2279,24.56,25303,11611,2,2,"0","0"
418,"District Judge, 8th Judicial District, 1st Division","Sam C. POTTER","",23533,100.00,74822,33494,1,1,"0","0"
419,"District Judge, 8th Judicial District, 2nd Division","Brent J. POTTER","",23012,100.00,74822,33494,1,1,"0","0"
420,"District Judge, 8th Judicial District, 3rd Division","John B. BROWN","",21648,100.00,74822,33494,1,1,"0","0"
421,"District Judge, 9th Judicial District, 1st Division","John David SIMCOE","",20624,100.00,73587,30896,1,1,"0","0"
422,"District Judge, 9th Judicial District, 2nd Division","Kim Winkenhofer SHUMATE","",21058,100.00,73587,30896,1,1,"0","0"
423,"District Judge, 10th Judicial District","C. Derek REED","",6140,100.00,23081,10712,2,2,"0","0"
424,"District Judge, 11th Judicial District, 1st Division","Amy Sullivan ANDERSON","",15833,100.00,47620,25489,4,4,"0","0"
425,"District Judge, 11th Judicial District, 2nd Division","Connie Sullivan PHILLIPS","",15831,100.00,47620,25489,4,4,"0","0"
426,"District Judge, 12th Judicial District, 1st Division","Diana E. WHEELER","",19420,100.00,64475,32526,3,3,"0","0"
427,"District Judge, 12th Judicial District, 2nd Division","Jerry D. CROSBY","",19269,100.00,64475,32526,3,3,"0","0"
428,"District Judge, 13th Judicial District, 1st Division","Bill OLIVER","",18346,100.00,65819,30040,3,3,"0","0"
429,"District Judge, 13th Judicial District, 2nd Division","Janet C. BOOTH","",18464,100.00,65819,30040,3,3,"0","0"
430,"District Judge, 14th Judicial District, 1st Division","Mary Jane Wilhoit PHELPS","",20787,100.00,68222,34346,3,3,"0","0"
431,"District Judge, 14th Judicial District, 2nd Division","Vanessa Mullins DICKSON","",15093,61.34,68222,34346,3,3,"0","0"
432,"District Judge, 14th Judicial District, 2nd Division","Chad WELLS","",9511,38.66,68222,34346,3,3,"0","0"
433,"District Judge, 15th Judicial District, 1st Division","Elizabeth A. CHANDLER","",10103,100.00,32148,14185,3,3,"0","0"
434,"District Judge, 15th Judicial District, 2nd Division","Thomas M. FUNK","",9374,100.00,32148,14185,3,3,"0","0"
435,"District Judge, 16th Judicial District, 1st Division","Christopher S. NORDLOH","",16018,43.65,119973,46962,1,1,"0","0"
436,"District Judge, 16th Judicial District, 1st Division","Ann RUTTLE","",20678,56.35,119973,46962,1,1,"0","0"
437,"District Judge, 16th Judicial District, 2nd Division","Kenneth L. EASTERLING","",27423,100.00,119973,46962,1,1,"0","0"
438,"District Judge, 16th Judicial District, 3rd Division","Douglas J. GROTHAUS","",27357,100.00,119973,46962,1,1,"0","0"
439,"District Judge, 17th Judicial District, 1st Division","Cameron J. BLAU","",9767,38.56,66924,30030,1,1,"0","0"
440,"District Judge, 17th Judicial District, 1st Division","Gregory T. POPOVICH","",15565,61.44,66924,30030,1,1,"0","0"
441,"District Judge, 17th Judicial District, 2nd Division","Karen A. THOMAS","",18920,100.00,66924,30030,1,1,"0","0"
442,"District Judge, 18th Judicial District","Charles W. KUSTER Jr.","",8945,100.00,30336,13513,4,4,"0","0"
443,"District Judge, 19th Judicial District","Steven Royse ZWEIGART","",5079,45.14,29182,13429,3,3,"0","0"
444,"District Judge, 19th Judicial District","Frank H. McCARTNEY","",6173,54.86,29182,13429,3,3,"0","0"
445,"District Judge, 20th Judicial District","Brian C. McCLOUD","",9473,100.00,38514,15535,2,2,"0","0"
446,"District Judge, 21st Judicial District, 1st Division","William "Willie" ROBERTS","",14283,100.00,48302,23335,4,4,"0","0"
447,"District Judge, 21st Judicial District, 2nd Division","Don BLAIR","",14064,100.00,48302,23335,4,4,"0","0"
448,"District Judge, 22nd Judicial District, 1st Division","Joseph T. BOUVIER","",49280,100.00,208882,98497,1,1,"0","0"
449,"District Judge, 22nd Judicial District, 2nd Division","T. Bruce BELL","",50165,100.00,208882,98497,1,1,"0","0"
450,"District Judge, 22nd Judicial District, 3rd Division","Kim WILKIE","",51310,100.00,208882,98497,1,1,"0","0"
451,"District Judge, 22nd Judicial District, 4th Division","Julie Muth GOODMAN","",50353,100.00,208882,98497,1,1,"0","0"
452,"District Judge, 22nd Judicial District, 5th Division","Megan Lake THORNTON","",50592,100.00,208882,98497,1,1,"0","0"
453,"District Judge, 23rd Judicial District","William "Bo" LEACH","",6447,100.00,19457,9851,3,3,"0","0"
454,"District Judge, 24th Judicial District, 1st Division","Paul L. PACK","",7555,49.76,37912,18036,3,3,"0","876"
455,"District Judge, 24th Judicial District, 1st Division","John T. CHAFIN","",7627,50.24,37912,18036,3,3,"0","876"
456,"District Judge, 24th Judicial District, 2nd Division","John Kevin HOLBROOK","",12188,100.00,37912,18036,3,3,"0","2386"
457,"District Judge, 25th Judicial District, 1st Division","Charles W. "Chuck" HARDIN","",22922,100.00,85722,39745,2,2,"0","0"
458,"District Judge, 25th Judicial District, 2nd Division","Brandy Oliver BROWN","",24408,100.00,85722,39745,2,2,"0","0"
459,"District Judge, 25th Judicial District, 3rd Division","Earl-Ray NEAL","",24074,100.00,85722,39745,2,2,"0","0"
460,"District Judge, 26th Judicial District","Jeffrey J. BROCK","",7356,100.00,20421,9435,1,1,"0","0"
461,"District Judge, 27th Judicial District, 1st Division","W. "Skip" HAMMONS","",19052,100.00,67547,28415,2,2,"0","0"
462,"District Judge, 27th Judicial District, 2nd Division","John Paul CHAPPELL","",17875,100.00,67547,28415,2,2,"0","0"
463,"District Judge, 28th Judicial District, 1st Division","Jeffrey Scott LAWLESS","",17339,100.00,57647,26888,2,2,"0","0"
464,"District Judge, 28th Judicial District, 2nd Division","Katie Gregory WOOD","",19003,100.00,57647,26888,2,2,"0","0"
465,"District Judge, 29th Judicial District","Michael LOY","",8317,100.00,23910,12609,2,2,"0","0"
466,"District Judge, 30th Judicial District, 1st Division","Annette KAREM","",93681,58.37,0,259804,1,1,"0","0"
467,"District Judge, 30th Judicial District, 1st Division","Nichole Taylor COMPTON","",66818,41.63,0,259804,1,1,"0","0"
468,"District Judge, 30th Judicial District, 2nd Division","Josh P. SCHNEIDER","",70147,44.11,0,259804,1,1,"0","0"
469,"District Judge, 30th Judicial District, 2nd Division","Amber B. WOLF","",88883,55.89,0,259804,1,1,"0","0"
470,"District Judge, 30th Judicial District, 3rd Division","Sandra L. McLAUGHLIN","",92319,56.05,0,259804,1,1,"0","0"
471,"District Judge, 30th Judicial District, 3rd Division","Matthew K. ECKERT","",72375,43.95,0,259804,1,1,"0","0"
472,"District Judge, 30th Judicial District, 4th Division","Michele B. STENGEL","",126752,100.00,0,259804,1,1,"0","0"
473,"District Judge, 30th Judicial District, 5th Division","Donald E. ARMSTRONG JR.","",75696,45.37,0,259804,1,1,"0","0"
474,"District Judge, 30th Judicial District, 5th Division","Jennifer LEIBSON","",91149,54.63,0,259804,1,1,"0","0"
475,"District Judge, 30th Judicial District, 6th Division","Sean R. DELAHANTY","",128923,100.00,0,259804,1,1,"0","0"
476,"District Judge, 30th Judicial District, 7th Division","Jennifer Bryant WILCOX","",124470,100.00,0,259804,1,1,"0","0"
477,"District Judge, 30th Judicial District, 8th Division","Josephine Layne BUCKNER","",77480,48.36,0,259804,1,1,"0","0"
478,"District Judge, 30th Judicial District, 8th Division","David P. BOWLES","",82748,51.64,0,259804,1,1,"0","0"
479,"District Judge, 30th Judicial District, 9th Division","David HOLTON","",124465,100.00,0,259804,1,1,"0","0"
480,"District Judge, 30th Judicial District, 10th Division","Sheila A. COLLINS","",123644,100.00,0,259804,1,1,"0","0"
481,"District Judge, 30th Judicial District, 11th Division","Gina Kay CALVERT","",85023,54.03,0,259804,1,1,"0","0"
482,"District Judge, 30th Judicial District, 11th Division","Susan JONES","",72340,45.97,0,259804,1,1,"0","0"
483,"District Judge, 30th Judicial District, 12th Division","Eric HANER","",92011,56.54,0,259804,1,1,"0","0"
484,"District Judge, 30th Judicial District, 12th Division","James Michael GREEN","",70726,43.46,0,259804,1,1,"0","0"
485,"District Judge, 30th Judicial District, 13th Division","Ann Schiavone DYKE","",70600,41.65,0,259804,1,1,"0","0"
486,"District Judge, 30th Judicial District, 13th Division","Anne DELAHANTY","",98896,58.35,0,259804,1,1,"0","0"
487,"District Judge, 30th Judicial District, 14th Division","Stephanie Pearce BURKE","",106976,65.48,0,259804,1,1,"0","0"
488,"District Judge, 30th Judicial District, 14th Division","Andre L. BERGERON","",56397,34.52,0,259804,1,1,"0","0"
489,"District Judge, 30th Judicial District, 15th Division","Anne HAYNIE","",125784,100.00,0,259804,1,1,"0","0"
490,"District Judge, 30th Judicial District, 16th Division","Claudia Ann SMITH","",70391,38.77,0,259804,1,1,"0","0"
491,"District Judge, 30th Judicial District, 16th Division","Katie KING","",111180,61.23,0,259804,1,1,"0","0"
492,"District Judge, 30th Judicial District, 17th Division","Dana Michelle COHEN","",72590,44.98,0,259804,1,1,"0","0"
493,"District Judge, 30th Judicial District, 17th Division","Erica Lee WILLIAMS","",88801,55.02,0,259804,1,1,"0","0"
494,"District Judge, 31st Judicial District, 1st Division","Jimmy "Blue" MARCUM","",9245,100.00,30361,13693,1,1,"0","4432"
495,"District Judge, 31st Judicial District, 2nd Division","Eric D. HALL","",9315,100.00,30361,13693,1,1,"0","4374"
496,"District Judge, 32nd Judicial District, 1st Division","Scott T. REESE","",9431,100.00,37372,14898,1,1,"0","0"
497,"District Judge, 32nd Judicial District, 2nd Division","Gerald B. REAMS JR.","",9991,100.00,37372,14898,1,1,"0","0"
498,"District Judge, 33rd Judicial District","Leigh Anne STEPHENS","",7492,100.00,20791,9971,1,1,"0","0"
499,"District Judge, 34th Judicial District, 1st Division","Cathy E. PREWITT","",9793,100.00,37562,15028,2,2,"0","0"
500,"District Judge, 34th Judicial District, 2nd Division","Fred F. WHITE","",9632,100.00,37562,15028,2,2,"0","0"
501,"District Judge, 35th Judicial District, 1st Division","Darrel H. MULLINS","",12497,100.00,48110,19435,1,1,"0","0"
502,"District Judge, 35th Judicial District, 2nd Division","Kelsey E. FRIEND Jr.","",12263,100.00,48110,19435,1,1,"0","0"
503,"District Judge, 36th Judicial District","Dennis PRATER","",7168,100.00,21954,10960,2,2,"0","0"
504,"District Judge, 37th Judicial District","John Preston THOMPSON","",3286,25.78,33530,15649,3,3,"0","0"
505,"District Judge, 37th Judicial District","Rupert WILHOIT","",9459,74.22,33530,15649,3,3,"0","0"
506,"District Judge, 38th Judicial District, 1st Division","Renona C. BROWNING","",12203,100.00,41337,21463,4,4,"0","0"
507,"District Judge, 38th Judicial District, 2nd Division","John M. McCARTY","",11877,100.00,41337,21463,4,4,"0","0"
508,"District Judge, 39th Judicial District","Kenny PROFITT","",8099,100.00,26920,11782,3,3,"0","0"
509,"District Judge, 40th Judicial District, 1st Division","Scarlett B. LATHAM","",11045,100.00,35320,18549,3,3,"0","0"
510,"District Judge, 40th Judicial District, 2nd Division","James M. "Mike" LAWSON","",10975,100.00,35320,18549,3,3,"0","0"
511,"District Judge, 41st Judicial District, 1st Division","Allen B. ROBERTS","",7839,58.45,33356,15669,3,3,"0","0"
512,"District Judge, 41st Judicial District, 1st Division","Monica RICE-SMITH","",5572,41.55,33356,15669,3,3,"0","0"
513,"District Judge, 41st Judicial District, 2nd Division","Henria BAILEY-LEWIS","",9572,100.00,33356,15669,3,3,"0","0"
514,"District Judge, 42nd Judicial District","Randall A. HUTCHENS","",8367,100.00,27577,12531,1,1,"0","0"
515,"District Judge, 43rd Judicial District","John T. ALEXANDER","",11369,100.00,36997,18417,2,2,"0","0"
516,"District Judge, 44th Judicial District","Robert "Robby" YOAKUM","",6068,100.00,20545,8812,1,1,"0","0"
517,"District Judge, 45th Judicial District","Brian CRICK","",8102,100.00,29239,13694,2,2,"0","0"
518,"District Judge, 46th Judicial District, 1st Division","Kenneth Harold GOFF II.","",15398,100.00,52575,24774,3,3,"0","0"
