"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num County total","num County rptg","over votes","under votes"
134,"State Representative, 55th Representative District","Jacqueline COLEMAN","DEM",5927,34.79,61310,30015,3,3,"0","0"
135,"State Representative, 56th Representative District","Ryan SCHWARTZ","REP",6498,40.20,263492,129026,3,3,"0","0"
136,"State Representative, 56th Representative District","James KAY","DEM",9668,59.80,263492,129026,3,3,"0","0"
137,"State Representative, 57th Representative District","Derrick W. GRAHAM","DEM",13384,100.00,35422,19973,1,1,"0","0"
138,"State Representative, 58th Representative District","Brad MONTELL","REP",11674,100.00,29419,15275,1,1,"0","0"
139,"State Representative, 59th Representative District","David W. OSBORNE","REP",12235,73.34,46071,23476,1,1,"0","0"
140,"State Representative, 59th Representative District","James Victor EWEN","DEM",4447,26.66,46071,23476,1,1,"0","0"
141,"State Representative, 60th Representative District","Sal SANTORO","REP",11506,100.00,91657,34490,1,1,"0","0"
142,"State Representative, 61st Representative District","Brian E. LINDER","REP",10931,100.00,263355,104955,4,4,"0","0"
143,"State Representative, 62nd Representative District","Ryan F. QUARLES","REP",9163,58.73,251939,119721,3,3,"0","0"
144,"State Representative, 62nd Representative District","Chuck TACKETT","DEM",6439,41.27,251939,119721,3,3,"0","0"
145,"State Representative, 63rd Representative District","Diane ST. ONGE","REP",12618,100.00,211630,81452,2,2,"0","0"
146,"State Representative, 64th Representative District","Thomas Robert KERR","REP",10670,100.00,186897,76992,2,2,"0","0"
147,"State Representative, 65th Representative District","Arnold R. SIMPSON","DEM",6209,100.00,119973,46962,1,1,"0","0"
148,"State Representative, 66th Representative District","Addia Kathryn WUCHNER","REP",11091,100.00,91657,34490,1,1,"0","0"
149,"State Representative, 67th Representative District","Dennis KEENE","DEM",7350,100.00,66924,30030,1,1,"0","0"
150,"State Representative, 68th Representative District","Joseph M. FISCHER","REP",12606,73.54,66924,30030,1,1,"0","0"
151,"State Representative, 68th Representative District","Shae HORNBACK","DEM",4535,26.46,66924,30030,1,1,"0","0"
152,"State Representative, 69th Representative District","Adam KOENIG","REP",8475,100.00,211630,81452,2,2,"0","0"
153,"State Representative, 70th Representative District","Mitchel B. "Mike" DENHAM","DEM",11362,100.00,30899,14251,4,4,"0","0"
154,"State Representative, 71st Representative District","Jonathan SHELL","REP",11915,100.00,83374,37697,3,3,"0","0"
155,"State Representative, 72nd Representative District","Dwaine CURRAN","REP",4794,35.15,237195,111544,4,4,"0","0"
156,"State Representative, 72nd Representative District","Sannie OVERLY","DEM",8846,64.85,237195,111544,4,4,"0","0"
157,"State Representative, 73rd Representative District","Donna MAYFIELD","REP",8590,60.30,85722,39745,2,2,"0","0"
158,"State Representative, 73rd Representative District","Bonnie R. HUMMEL","DEM",5656,39.70,85722,39745,2,2,"0","0"
159,"State Representative, 74th Representative District","David HALE","REP",8346,52.83,34609,16326,3,3,"0","0"
160,"State Representative, 74th Representative District","Richard HENDERSON","DEM",7453,47.17,34609,16326,3,3,"0","0"
161,"State Representative, 75th Representative District","Kelly FLOOD","DEM",8407,100.00,208882,98497,1,1,"0","0"
162,"State Representative, 76th Representative District","Richard MARRS","REP",5622,40.86,208882,98497,1,1,"0","0"
163,"State Representative, 76th Representative District","Ruth Ann PALUMBO","DEM",8138,59.14,208882,98497,1,1,"0","0"
164,"State Representative, 77th Representative District","George A. BROWN JR.","DEM",8749,100.00,208882,98497,1,1,"0","0"
165,"State Representative, 78th Representative District","Mark HART","REP",5550,45.99,58442,27429,3,3,"0","0"
166,"State Representative, 78th Representative District","Thomas M. MCKEE","DEM",6519,54.01,58442,27429,3,3,"0","0"
167,"State Representative, 79th Representative District","Ken KEARNS II.","REP",5321,38.57,208882,98497,1,1,"0","0"
168,"State Representative, 79th Representative District","Susan WESTROM","DEM",8473,61.43,208882,98497,1,1,"0","0"
169,"State Representative, 80th Representative District","David MEADE","REP",10057,100.00,63233,29061,2,2,"0","0"
170,"State Representative, 81st Representative District","C. Wesley MORGAN","REP",5167,41.39,59007,27155,1,1,"0","0"
171,"State Representative, 81st Representative District","Rita H. SMART","DEM",7318,58.61,59007,27155,1,1,"0","0"
172,"State Representative, 82nd Representative District","Regina Petrey BUNCH","REP",9544,100.00,70360,27290,2,2,"0","540"
173,"State Representative, 83rd Representative District","Jeff HOOVER","REP",13667,100.00,71975,36507,4,4,"0","0"
174,"State Representative, 84th Representative District","Fitz STEELE","DEM",11234,100.00,41212,19406,2,2,"0","0"
175,"State Representative, 85th Representative District","Tommy TURNER","REP",11601,100.00,89565,39403,2,2,"0","1080"
176,"State Representative, 86th Representative District","Jim STEWART","REP",11362,100.00,67547,28415,2,2,"0","0"
177,"State Representative, 87th Representative District","Rick NELSON","DEM",9742,100.00,40966,18247,2,2,"0","0"
